action,observation.state,timestamp,frame_index,episode_index,index,task_index
"[ 1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2428474e-01
  5.7221332e-04  5.7221332e-04 -6.5948814e-05 -1.9073777e-04
  1.0465782e+00  5.2281225e-01  6.2504768e-01 -9.5368887e-04
 -5.7221332e-04 -2.8371811e-05  0.0000000e+00 -0.0000000e+00]","[-9.5368887e-04  1.0469596e+00  5.2166784e-01  6.2199587e-01
 -2.0981156e-03 -2.8610667e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.2275881e-01  9.5368887e-04
 -5.7221332e-04  1.1596829e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.0,0,0,0,0
"[-1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2199587e-01
  5.7221332e-04  5.7221332e-04 -6.9286674e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2352180e-01 -9.5368887e-04
 -5.7221332e-04 -1.8358231e-05  0.0000000e+00 -0.0000000e+00]","[-9.5368887e-04  1.0469596e+00  5.2166784e-01  6.2199587e-01
 -1.7166400e-03 -2.8610667e-03 -1.7546117e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.2275881e-01  9.5368887e-04
 -5.7221332e-04  1.1596829e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.02,1,0,1,0
"[-1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2046999e-01
  5.7221332e-04  5.7221332e-04 -6.5948814e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2275881e-01 -9.5368887e-04
 -5.7221332e-04  1.6689301e-06  0.0000000e+00 -0.0000000e+00]","[-5.7221332e-04  1.0469596e+00  5.2166784e-01  6.2161440e-01
 -1.7166400e-03 -2.4795909e-03 -2.5119632e-05 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.2237734e-01  9.5368887e-04
 -9.5368887e-04  8.2589686e-06  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.04,2,0,2,0
"[-1.90737774e-04  1.04695964e+00  5.22812247e-01  6.20088518e-01
  5.72213321e-04  5.72213321e-04 -6.59488142e-05 -5.72213321e-04
  1.04657817e+00  5.22812247e-01  6.22377336e-01 -9.53688868e-04
 -5.72213321e-04 -1.50203705e-05  0.00000000e+00 -0.00000000e+00]","[-9.5368887e-04  1.0469596e+00  5.2166784e-01  6.2085146e-01
 -1.7166400e-03 -2.4795909e-03 -2.5119632e-05 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.2161440e-01  9.5368887e-04
 -9.5368887e-04  8.2589686e-06  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.06,3,0,3,0
"[ 1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.9286674e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2199587e-01 -9.5368887e-04
 -5.7221332e-04 -3.5047531e-05  0.0000000e+00 -0.0000000e+00]","[-9.5368887e-04  1.0469596e+00  5.2166784e-01  6.1970705e-01
 -1.7166400e-03 -2.4795909e-03 -1.8443912e-05 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.2008852e-01  5.7221332e-04
 -9.5368887e-04  1.8272549e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.08,4,0,4,0
"[-1.90737774e-04  1.04695964e+00  5.22812247e-01  6.20088518e-01
  5.72213321e-04  5.72213321e-04 -6.92866743e-05 -5.72213321e-04
  1.04657817e+00  5.22812247e-01  6.21995866e-01 -9.53688868e-04
 -5.72213321e-04 -1.50203705e-05  0.00000000e+00 -0.00000000e+00]","[-9.5368887e-04  1.0469596e+00  5.2166784e-01  6.1932558e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1894405e-01  9.5368887e-04
 -9.5368887e-04  1.1596829e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.1,5,0,5,0
"[ 1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.5948814e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2199587e-01 -9.5368887e-04
 -5.7221332e-04  1.6689301e-06  0.0000000e+00 -0.0000000e+00]","[-9.5368887e-04  1.0469596e+00  5.2166784e-01  6.1856258e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1856258e-01  9.5368887e-04
 -5.7221332e-04  8.2589686e-06  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.12,6,0,6,0
"[-1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.9286674e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2199587e-01 -9.5368887e-04
 -5.7221332e-04 -3.5047531e-05  0.0000000e+00 -0.0000000e+00]","[-5.7221332e-04  1.0469596e+00  5.2166784e-01  6.1779964e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1818111e-01  9.5368887e-04
 -5.7221332e-04  1.4934689e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.14,7,0,7,0
"[-1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.5948814e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.2199587e-01 -9.5368887e-04
 -5.7221332e-04 -3.1709671e-05  0.0000000e+00 -0.0000000e+00]","[-5.7221332e-04  1.0469596e+00  5.2166784e-01  6.1779964e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1741817e-01  9.5368887e-04
 -9.5368887e-04  1.4934689e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.16,8,0,8,0
"[ 1.90737774e-04  1.04695964e+00  5.22812247e-01  6.20088518e-01
  5.72213321e-04  5.72213321e-04 -6.92866743e-05 -5.72213321e-04
  1.04657817e+00  5.22812247e-01  6.21995866e-01 -9.53688868e-04
 -5.72213321e-04 -1.50203705e-05  0.00000000e+00 -0.00000000e+00]","[-1.9073777e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03 -1.7546117e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1741817e-01  9.5368887e-04
 -9.5368887e-04  1.1596829e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.18,9,0,9,0
