observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index,observation.effort
"[ 0.01687379 -0.30679616  1.0293012  -0.02300971 -0.6074564   0.1764078
 -0.09790231 -0.04448544 -0.2086214   0.6013205   0.19634955  0.32980588
  0.02454369 -0.11196405]","[ 0.01533981 -0.31753403  1.0139613  -0.01687379 -0.6181943   0.17180586
 -0.13393871 -0.04141748 -0.25003886  0.6013205   0.19788353  0.28225246
  0.02607767 -0.15765688]",15,313,6.26,False,10813,0,
"[-0.05522331 -0.320602    0.9510681   0.09050487 -0.64887387  1.1581556
 -0.07971685 -0.18254372 -0.04448544  0.7117671  -0.61972827 -0.7915341
  1.12134     0.4915717 ]","[-0.05522331 -0.3267379   0.94186425  0.08897088 -0.65961176  1.1566216
 -0.10492822 -0.19021362 -0.05062137  0.68722343 -0.6335341  -0.8114759
  1.1290098   0.49208757]",47,557,11.14,False,33457,0,
"[ 0.09203885 -0.13805827  0.98021376 -0.00460194 -0.58291274 -0.04755341
  0.02128872 -0.0966408  -0.13805827  0.6795535  -0.01227185  0.08130098
  0.05215535  0.4443237 ]","[ 0.09203885 -0.16260196  0.96487397 -0.00153398 -0.5936506  -0.04601942
  0.01644693 -0.1043107  -0.1764078   0.68415546 -0.01380583  0.03834952
  0.05062137  0.44402182]",35,672,13.44,False,25172,0,
"[ 0.08590293 -0.25310683  0.97100985 -0.08743691 -0.5783108  -0.06135923
  0.59943205 -0.06749516 -0.25924277  0.8697671  -0.02454369 -0.38196123
  0.09817477 -0.1304657 ]","[ 0.08743691 -0.28532043  0.94800013 -0.08436894 -0.5890486  -0.04448544
  0.5959463  -0.07363108 -0.2715146   0.8651652  -0.02300971 -0.40497094
  0.09817477 -0.17755844]",9,604,12.08,False,6904,0,
"[ 0.00306796 -0.26691267  1.0523108  -0.11351458 -0.6948933   0.1288544
 -0.15286583 -0.03834952 -0.18100974  0.6810875   0.01533981  0.01840777
  0.2239612  -0.1646245 ]","[ 0.00613592 -0.26691267  1.0216312  -0.11658254 -0.6979613   0.11504856
 -0.21816085 -0.02914564 -0.17947575  0.64887387  0.01380583  0.0076699
  0.22242722 -0.22751655]",12,303,6.06,False,8703,0,
"[-0.21475732 -0.00613592  0.9526021   0.01840777 -0.28685442 -0.08590293
  0.8768375   0.18100974  0.10584468  0.80533993 -0.00153398 -0.32520393
  0.14879614  0.01259665]","[-0.21782528 -0.00153398  0.9203885   0.02147573 -0.29145637 -0.0720971
  0.7836502   0.19481556  0.10584468  0.77466035 -0.00306796 -0.32366997
  0.14726216  0.01240949]",70,91,1.82,False,57091,1,"[ -56.49    -403.5     -400.81       0.      -121.05       0.
  -16.14     121.05    -325.49002 -481.51       0.       -69.94
   -2.69    -234.03   ]"
"[-0.08283497 -0.19328159  0.38042724  1.119806    0.6258642  -0.2561748
  0.83504635 -0.45252433 -0.5368933   0.9295924  -0.00613592 -0.7700584
  0.2883884   0.04992352]","[-0.09817477 -0.24236897  0.39730105  1.122874    0.6059224  -0.3267379
  0.74191976 -0.48473793 -0.52001953  0.8697671  -0.00306796 -0.71636903
  0.2899224   0.07732354]",85,579,11.58,False,74079,1,"[  21.52     -602.56     -352.39       43.04      -56.49        0.
   -5.38     -158.71      -37.66     -747.82        2.69      -26.900002
   -2.69      -45.73    ]"
"[-0.04295146 -0.5261554   0.8743691   1.0676507   0.07823303 -0.9771458
  0.45746803 -0.5997865  -0.17947575  0.54609716  0.01533981 -0.5384273
  0.27765054  0.07046074]","[-0.03834952 -0.5384273   0.8620972   1.0661167   0.0720971  -0.9786798
  0.44826093 -0.58598065 -0.1840777   0.5123496   0.01380583 -0.5414952
  0.27918452  0.10668939]",63,684,13.68,False,49984,1,"[  29.59     -317.42     -282.45        0.        -96.840004   -2.69
  -64.56       51.11     -209.82     -766.65        0.        -34.97
   -8.07       -5.38    ]"
"[-0.07516506 -0.09357283  0.7577865  -0.01073787 -0.1043107  -0.06596117
  0.61670196 -0.25157285 -0.22856314  0.76238847  0.13499032 -0.80533993
 -0.00460194  0.01793165]","[-0.07669904 -0.10584468  0.74091274 -0.01073787 -0.11504856 -0.06749516
  0.5549055  -0.2715146  -0.25003886  0.72557294  0.13959226 -0.8206797
 -0.0076699   0.02322847]",96,335,6.7,False,85935,1,"[ -18.83    -309.35    -414.26       0.      -196.37001    0.
 -298.59    -142.57    -521.86    -637.53       5.38    -293.21
   -2.69    -182.92   ]"
"[-0.08743691 -0.5353593   0.94800013  1.0293012   0.13192235 -1.0615147
  0.11640922 -0.5890486  -0.70102924  1.3115536   0.13038836  0.03834952
  0.75471854  0.17644586]","[-0.08590293 -0.5445632   0.9387963   1.0308352   0.13038836 -1.0599808
  0.1576933  -0.59518456 -0.6780195   1.2931459   0.13192235  0.02300971
  0.7562525   0.26742893]",54,691,13.82,False,40091,1,"[   0.      -185.61    -287.83002    0.       -64.56      -2.69
  -75.32    -131.81      32.28    -422.33002    0.      -223.27
  -29.59     150.64   ]"
"[ 0.3037282  -0.72557294  0.5491651   0.5675729   0.71023315 -0.5108156
  0.03190888 -0.29759228 -0.13959226  0.5767768   0.5445632   0.16873789
 -0.6166603   0.7984887 ]","[ 0.30679616 -0.6810875   0.48167     0.57370883  0.7271069  -0.5046797
  0.05259437 -0.2623107  -0.21168935  0.6089904   0.5506991   0.09817477
 -0.61205834  0.7094627 ]",112,1337,26.74,False,109337,2,"[  32.28        0.       -629.46       59.18      -96.840004   -2.69
    0.         83.39     -513.79004  -419.64        8.07     -134.5
    0.          0.      ]"
"[ 0.21935926 -0.559903    0.37429133  0.7531846   0.92345643 -0.5997865
  0.1043016  -0.561437    0.10737866  0.40497094  0.7715924   0.5445632
 -1.0477089   0.6266138 ]","[ 0.25003886 -0.5261554   0.2960583   0.6933593   0.96487397 -0.53075737
  0.14687426 -0.5675729   0.04908739  0.41877678  0.7761943   0.5553011
 -1.0385051   0.56263334]",132,1092,21.84,False,139092,2,"[  48.420002 -150.64     -688.64       67.25      -86.08      -13.450001
  -18.83     -110.29     -887.7      -333.56      104.91       13.450001
    0.        153.33    ]"
"[-0.12732041 -0.01073787  0.47246608  1.6398255   1.5002333  -0.6580778
  0.1043016   0.04448544 -0.21322334  0.9909516  -0.00613592 -0.4080389
  0.13192235  0.6087415 ]","[-0.10891264 -0.07516506  0.45252433  1.6597673   1.520175   -0.6565438
  0.14687426  0.04908739 -0.22856314  0.9679419  -0.00613592 -0.41877678
  0.13192235  0.53944975]",113,359,7.18,False,109859,2,"[  352.39    -1084.0701   -540.69      349.7       390.05002   -21.52
   -16.14       86.08     -328.18     -613.32        0.       -252.86
     0.       -486.89   ]"
